Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Netherlands,Status
solitaire-engagement-ring-princess-diamond,,,,,,,,,White Gold,,Lab-Grown 1.50ct DVS2,,,solitaire-engagement-ring-princess-diamond-white-gold-150ct,0,shopify,deny,manual,1250,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
solitaire-engagement-ring-princess-diamond,,,,,,,,,White Gold,,Natural Diamond,,,solitaire-engagement-ring-princess-diamond-white-gold-natural,0,shopify,deny,manual,3000,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
solitaire-engagement-ring-princess-diamond,,,,,,,,,Yellow Gold,,Lab-Grown 0.50ct DVS2,,,solitaire-engagement-ring-princess-diamond-yellow-gold-050ct,0,shopify,deny,manual,790,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
solitaire-engagement-ring-princess-diamond,,,,,,,,,Yellow Gold,,Lab-Grown 1.00ct DVS2,,,solitaire-engagement-ring-princess-diamond-yellow-gold-100ct,0,shopify,deny,manual,990,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
solitaire-engagement-ring-princess-diamond,,,,,,,,,Yellow Gold,,Lab-Grown 1.50ct DVS2,,,solitaire-engagement-ring-princess-diamond-yellow-gold-150ct,0,shopify,deny,manual,1250,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
solitaire-engagement-ring-princess-diamond,,,,,,,,,Yellow Gold,,Natural Diamond,,,solitaire-engagement-ring-princess-diamond-yellow-gold-natural,0,shopify,deny,manual,3000,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
solitaire-engagement-ring-princess-diamond,,,,,,,,,Rose Gold,,Lab-Grown 0.50ct DVS2,,,solitaire-engagement-ring-princess-diamond-rose-gold-050ct,0,shopify,deny,manual,790,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
solitaire-engagement-ring-princess-diamond,,,,,,,,,Rose Gold,,Lab-Grown 1.00ct DVS2,,,solitaire-engagement-ring-princess-diamond-rose-gold-100ct,0,shopify,deny,manual,990,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
solitaire-engagement-ring-princess-diamond,,,,,,,,,Rose Gold,,Lab-Grown 1.50ct DVS2,,,solitaire-engagement-ring-princess-diamond-rose-gold-150ct,0,shopify,deny,manual,1250,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
solitaire-engagement-ring-princess-diamond,,,,,,,,,Rose Gold,,Natural Diamond,,,solitaire-engagement-ring-princess-diamond-rose-gold-natural,0,shopify,deny,manual,3000,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-round-diamond-no-side-diamonds,Halo Engagement Ring – Round Diamond – No Side Diamonds,"Classic halo design with a brilliant round center stone, surrounded by sparkling accents.",Diamonds by Caroline Scheltjens,Engagement Rings,Engagement Rings,"Engagement Rings, Halo, Round, No Side Diamonds, Lab-Grown Diamond, Natural Diamond",TRUE,Metal Color,White Gold,Diamond Type,Lab-Grown 0.50ct DVS2,,,halo-engagement-ring-round-diamond-no-side-diamonds-white-gold-050ct,0,shopify,deny,manual,790,,TRUE,TRUE,,,,,FALSE,Halo Engagement Ring – Round Diamond – No Side Diamonds | Diamonds by Caroline Scheltjens,"Classic halo design with a brilliant round center stone, surrounded by sparkling accents.",,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-round-diamond-no-side-diamonds,,,,,,,,,White Gold,,Lab-Grown 1.00ct DVS2,,,halo-engagement-ring-round-diamond-no-side-diamonds-white-gold-100ct,0,shopify,deny,manual,990,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-round-diamond-no-side-diamonds,,,,,,,,,White Gold,,Lab-Grown 1.50ct DVS2,,,halo-engagement-ring-round-diamond-no-side-diamonds-white-gold-150ct,0,shopify,deny,manual,1250,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-round-diamond-no-side-diamonds,,,,,,,,,White Gold,,Natural Diamond,,,halo-engagement-ring-round-diamond-no-side-diamonds-white-gold-natural,0,shopify,deny,manual,3000,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
halo-engagement-ring-round-diamond-no-side-diamonds,,,,,,,,,Yellow Gold,,Lab-Grown 0.50ct DVS2,,,halo-engagement-ring-round-diamond-no-side-diamonds-yellow-gold-050ct,0,shopify,deny,manual,790,,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,,,,,,,g,,,TRUE,active
